n_features_perturbed,percentage_perturbed,baseline_accuracy,perturbed_accuracy,accuracy_drop
1,1.2345679012345678,0.90784,0.86312,0.04471999999999998
5,6.172839506172839,0.90784,0.76476,0.14307999999999998
10,12.345679012345679,0.90784,0.69208,0.21575999999999995
20,24.691358024691358,0.90784,0.76772,0.14012000000000002
