model,statistic,confidence_level,lower_bound,upper_bound,margin_of_error
CNN_LSTM,0.9314899999999999,0.95,0.9310359833333333,0.9318866666666666,0.0004253416666666898
Transformer,0.9331093333333335,0.95,0.9327039833333333,0.9334760333333334,0.00038602500000006756
AE_Classifier,0.9287973333333333,0.95,0.9283739833333332,0.9291946999999998,0.00041035833333330496
TabNet,0.9251333333333334,0.95,0.9248451833333334,0.9253980166666667,0.00027641666666661235
ResNet1D,0.9296260000000002,0.95,0.92923585,0.9300240166666667,0.00039408333333335044
BiLSTM_Attention,0.9380219999999999,0.95,0.9377046,0.9383446666666665,0.00032003333333324724
GRU,0.9429373333333334,0.95,0.9426179833333332,0.9432621166666667,0.00032206666666673156
FT_Transformer,0.932546,0.95,0.9321945666666666,0.9328939999999998,0.0003497166666666107
VotingEnsemble,0.9411013333333332,0.95,0.9407033000000002,0.9415247666666666,0.00041073333333319084
