model,statistic,confidence_level,lower_bound,upper_bound,margin_of_error
AE_Classifier,0.8663046666666666,0.95,0.8658253166666666,0.8667713666666668,0.0004730250000000713
BiLSTM_Attention,0.8779179999999999,0.95,0.8773645666666667,0.878522,0.0005787166666666455
CNN_LSTM,0.7819020000000001,0.95,0.7812132666666668,0.78255015,0.0006684416666666304
FT_Transformer,0.8986613333333333,0.95,0.89823995,0.899062033333333,0.00041104166666650066
GRU,0.8838693333333333,0.95,0.8833552166666667,0.8844047833333333,0.0005247833333332785
ResNet1D,0.8683626666666666,0.95,0.8679539666666666,0.8687660166666666,0.00040602500000003205
TabNet,0.558356,0.95,0.5577945666666667,0.5590133500000001,0.000609391666666681
Transformer,0.8787199999999998,0.95,0.8782091666666665,0.8792261333333335,0.0005084833333335315
VotingEnsemble,0.8889273333333334,0.95,0.8885426666666667,0.8893006666666666,0.0003789999999999627
