model,accuracy,inference_ms,rank
GRU,94.25487030196601,0,1
VotingEnsemble,93.8492696074162,0,2
BiLSTM_Attention,93.80193901723409,0,3
TCN,93.57777881993529,0,4
Transformer,93.3148398543274,0,5
FT_Transformer,93.23010982194477,0,6
CNN_LSTM,93.1340299061546,0,7
ResNet1D,92.86253911867367,0,8
AE_Classifier,92.75763151578874,0,9
TabNet,92.44590381525542,0,10
