Class,Precision,Recall,F1-Score,FNR,Specificity,MCC,Support
Benign,0.32947976878612717,0.5953002610966057,0.4241860465116279,0.4046997389033943,0.9715051892489407,0.4257361778966488,1149
BruteForce,0.0,0.0,0.0,1.0,0.9999199807953909,-0.00013858623884727267,12
DDOS,0.79621138996139,0.795731339684071,0.7959712924431578,0.2042686603159291,0.9595032009015273,0.7554170360513247,8293
DOS,0.999601548269581,0.9151358816019177,0.9555056791131061,0.08486411839808228,0.998795284398933,0.8445746809942725,38379
Mirai,0.12201476335214936,0.6272321428571429,0.20428934932751727,0.37276785714285715,0.9591943816596706,0.26362749655393636,448
Recon,0.5362014690451207,0.41714285714285715,0.4692378328741965,0.5828571428571429,0.9909379805228088,0.4613815362759065,1225
Spoofing,0.17772317772317772,0.4737991266375546,0.258487194758785,0.5262008733624454,0.979734366799887,0.2799333190071809,458
Web-Based,0.10526315789473684,0.05555555555555555,0.07272727272727272,0.9444444444444444,0.999659755023617,0.0759906393672834,36
