Class,Precision,Recall,F1-Score,FNR,Specificity,MCC,Support
Benign,0.1327287716405606,0.28024369016536116,0.18013986013986014,0.7197563098346388,0.956930257313054,0.16539923368775655,1149
BruteForce,0.0,0.0,0.0,1.0,0.9999799951988477,-6.929104055729283e-05,12
DDOS,0.9026013309134906,0.7196430724707584,0.8008050989600806,0.2803569275292415,0.9845589469393627,0.7732258001246795,8293
DOS,0.9727424439087706,0.5467573412543318,0.700038364664476,0.4532426587456682,0.9494019447551846,0.42312758828634045,38379
Mirai,0.021867881548974944,0.32142857142857145,0.040949808047774774,0.6785714285714286,0.8700153374233128,0.053347412735963017,448
Recon,0.22019019751280175,0.24571428571428572,0.2322530864197531,0.7542857142857143,0.9781445412608919,0.2122223501324644,1225
Spoofing,0.01701040014101886,0.42139737991266374,0.032700779396814636,0.5786026200873362,0.7748778813935651,0.04464434544682912,458
Web-Based,0.0,0.0,0.0,1.0,0.9981786886558321,-0.001146182867522708,36
