Class,Precision,Recall,F1-Score,FNR,Specificity,MCC,Support
Benign,0.3937991670522906,0.7406440382941688,0.5141993957703928,0.25935596170583114,0.9731837628707704,0.5259830776390992,1149
BruteForce,0.25,0.16666666666666666,0.2,0.8333333333333334,0.9998799711930864,0.203968980011719,12
DDOS,0.8355296502787634,0.7951284215603521,0.8148285449490269,0.2048715784396479,0.9688781259740571,0.779437943649729,8293
DOS,0.9997211921822288,0.934286979858777,0.9658971527085635,0.06571302014122306,0.9991394888563807,0.8755561115252952,38379
Mirai,0.16020313942751616,0.7745535714285714,0.2654934965570008,0.22544642857142858,0.9632910881498224,0.3415363741600933,448
Recon,0.5021533161068045,0.47591836734693876,0.4886839899413244,0.5240816326530612,0.9881496668375193,0.4763748735558795,1225
Spoofing,0.3146067415730337,0.4890829694323144,0.38290598290598293,0.5109170305676856,0.9901497719107021,0.3853500266184869,458
Web-Based,0.21212121212121213,0.19444444444444445,0.2028985507246377,0.8055555555555556,0.9994796253302378,0.20254100448169501,36
