Class,Precision,Recall,F1-Score,FNR,Specificity,MCC,Support
Benign,0.3972902097902098,0.7911227154046997,0.5289496654058772,0.20887728459530025,0.9717713045792308,0.5470400626798466,1149
BruteForce,0.14285714285714285,0.16666666666666666,0.15384615384615385,0.8333333333333334,0.9997599423861727,0.15408418225236606,12
DDOS,0.9242554410080184,0.7783672977209695,0.845061203115795,0.2216327022790305,0.987316277843048,0.8215661039280829,8293
DOS,0.9987638381452079,0.947340993772636,0.9723730309432751,0.05265900622736392,0.9961276998537131,0.8955831938188452,38379
Mirai,0.15815861440291704,0.7745535714285714,0.2626797880393641,0.22544642857142858,0.9627260251856635,0.3391894231191079,448
Recon,0.47310243183493,0.5240816326530612,0.4972889233152595,0.47591836734693876,0.9853408508457201,0.4846683860231,1225
Spoofing,0.32432432432432434,0.4978165938864629,0.39276485788113696,0.5021834061135371,0.990412175527835,0.3950526375477162,458
Web-Based,0.14035087719298245,0.2222222222222222,0.17204301075268819,0.7777777777777778,0.9990192938916019,0.17586188958178212,36
