Class,Precision,Recall,F1-Score,FNR,Specificity,MCC,Support
Benign,0.37867298578199055,0.6953872932985204,0.4903344584228291,0.30461270670147955,0.973163292460748,0.4982730187835423,1149
BruteForce,0.021739130434782608,0.08333333333333333,0.034482758620689655,0.9166666666666666,0.9990997839481476,0.04211736343954998,12
DDOS,0.6113169417312226,0.21885927890992404,0.3223228556206713,0.7811407210900759,0.9723307838012804,0.30090431735666434,8293
DOS,0.9849802151256758,0.9209984627009562,0.9519154379586615,0.07900153729904374,0.9536184493589192,0.8207272737517725,38379
Mirai,0.051950078003120126,0.7433035714285714,0.09711286089238845,0.25669642857142855,0.8773611559573781,0.17494608039033177,448
Recon,0.38998682476943347,0.483265306122449,0.4316441851986876,0.516734693877551,0.9810148641722194,0.41833159752302995,1225
Spoofing,0.1794145420207743,0.4148471615720524,0.2504943968358603,0.5851528384279476,0.9824593274393444,0.26288194854380503,458
Web-Based,0.5,0.027777777777777776,0.05263157894736842,0.9722222222222222,0.9999799855896245,0.11772616732101453,36
