Class,Precision,Recall,F1-Score,FNR,Specificity,MCC,Support
Benign,0.3162808065720687,0.7371627502175805,0.4426443689574079,0.2628372497824195,0.9625186792491454,0.46565069859434305,1149
BruteForce,0.017045454545454544,0.25,0.031914893617021274,0.75,0.9965391694006561,0.06448130268683658,12
DDOS,0.8611148242213608,0.7767997105993006,0.8167871180423482,0.2232002894006994,0.9750881147049656,0.7840468478060914,8293
DOS,0.9993547663131909,0.9281898955157769,0.9624586288416076,0.07181010448422315,0.9980208243696755,0.8647419120569005,38379
Mirai,0.12013139371187236,0.5714285714285714,0.19852656068243504,0.42857142857142855,0.9621609622215047,0.24891897326805418,448
Recon,0.46185397867104183,0.4595918367346939,0.4607201309328969,0.5404081632653062,0.9865504869297796,0.4472114414190856,1225
Spoofing,0.25984251968503935,0.36026200873362446,0.3019213174748399,0.6397379912663755,0.990513099995963,0.29843643338188763,458
Web-Based,0.029411764705882353,0.027777777777777776,0.02857142857142857,0.9722222222222222,0.9993395244576094,0.02790291534269442,36
