Class,Precision,Recall,F1-Score,FNR,Specificity,MCC,Support
Benign,0.3468257349808266,0.7084421235857267,0.465675057208238,0.2915578764142733,0.9686188614357946,0.4796482496736946,1149
BruteForce,0.0,0.0,0.0,1.0,0.9988997359366248,-0.0005141538337806311,12
DDOS,0.9630716934487021,0.7515977330278548,0.8442939383677616,0.24840226697214518,0.9942695470784281,0.826453177528538,8293
DOS,0.9936107515628873,0.9400713932098282,0.9660998795019413,0.05992860679017171,0.980036141468032,0.8715698502579733,38379
Mirai,0.13215669393026258,0.6852678571428571,0.22158065680259834,0.31473214285714285,0.9593154665805619,0.2885822408964069,448
Recon,0.47655502392344495,0.40653061224489795,0.43876651982378856,0.593469387755102,0.9887852383393132,0.4272226198142778,1225
Spoofing,0.20440251572327045,0.5676855895196506,0.30057803468208094,0.43231441048034935,0.9795728876508821,0.3311152285964828,458
Web-Based,0.03428571428571429,0.16666666666666666,0.05687203791469194,0.8333333333333334,0.9966175646465455,0.07416199742549583,36
