Class,Precision,Recall,F1-Score,FNR,Specificity,MCC,Support
Benign,0.34144329896907216,0.720626631853786,0.46334639059876886,0.2793733681462141,0.9673087551943665,0.47984295560751833,1149
BruteForce,0.0,0.0,0.0,1.0,0.9999799951988477,-6.929104055729283e-05,12
DDOS,0.9550492610837439,0.7481008079102858,0.8390019609168977,0.25189919208971423,0.9929987771836862,0.8198780803283005,8293
DOS,0.9931731142809569,0.9324891216550718,0.9618749412065096,0.06751087834492822,0.978831425866965,0.857921367094333,38379
Mirai,0.12903225806451613,0.5982142857142857,0.21227722772277227,0.4017857142857143,0.9634928963513077,0.2652707290509951,448
Recon,0.36998706338939197,0.4669387755102041,0.41284734752796826,0.5330612244897959,0.9800307534597642,0.39918575801018424,1225
Spoofing,0.18518518518518517,0.5567685589519651,0.2779291553133515,0.4432314410480349,0.977352549352065,0.31093628283781893,458
Web-Based,0.13636363636363635,0.16666666666666666,0.15,0.8333333333333334,0.9992394524057321,0.15007974661712992,36
