Class,Precision,Recall,F1-Score,FNR,Specificity,MCC,Support
Benign,0.2933104631217839,0.5953002610966057,0.39299051996552714,0.4046997389033943,0.9662647642832286,0.3990424120701793,1149
BruteForce,0.0,0.0,0.0,1.0,1.0,0.0,12
DDOS,0.8440366972477065,0.7654648498733871,0.8028329328443151,0.2345351501266128,0.9718752247824106,0.7671904899601939,8293
DOS,0.9992041384799045,0.915969670913781,0.9557781976862739,0.08403032908621903,0.9975905687978659,0.8449883286685853,38379
Mirai,0.09653465346534654,0.43526785714285715,0.1580226904376013,0.5647321428571429,0.9631700032289312,0.19068845223694314,448
Recon,0.3697996918335901,0.5877551020408164,0.45397225725094575,0.4122448979591837,0.9748436699128652,0.44959578839664627,1225
Spoofing,0.18254764292878636,0.39737991266375544,0.2501718213058419,0.6026200873362445,0.9835493116951274,0.25960011792276655,458
Web-Based,0.0,0.0,0.0,1.0,0.9999799855896245,-0.00012004442379224583,36
