model,accuracy,inference_ms,rank
VotingEnsemble,90.20866250433495,0,1
ResNet1D,90.11994097799479,0,2
FT_Transformer,90.05992925057214,0,3
Transformer,90.0059265508299,0,4
GRU,89.70551444150016,0,5
TabNet,88.83868274258307,0,6
TCN,88.58512533928423,0,7
BiLSTM_Attention,88.2024720275834,0,8
CNN_LSTM,88.14713398835663,0,9
AE_Classifier,87.03440345083142,0,10
