source_dataset,target_dataset,training_time,source_accuracy,source_f1,target_accuracy,target_f1,accuracy_gap,f1_gap,generalization_ratio,model
CIC_IoT_DIAD_SplitA,CIC_IoT_DIAD_SplitB,88.26905131340027,0.97815,0.9719961795215449,0.97741,0.9702152330742364,0.0007399999999999629,0.001780946447308529,0.999243469815468,GRU
CIC_IoT_DIAD_SplitA,CIC_IoT_DIAD_SplitB,87.45804262161255,0.9787,0.9726723899974002,0.97728,0.9702100756592814,0.0014199999999999768,0.0024623143381188317,0.998549095739246,ResNet1D
CIC_IoT_DIAD_SplitA,CIC_IoT_DIAD_SplitB,512.6357901096344,0.97745,0.9682806908721368,0.9775,0.9679858026126168,-4.999999999999449e-05,0.00029488825951995423,1.0000511535116885,FT_Transformer
CIC_IoT_DIAD_SplitB,CIC_IoT_DIAD_SplitA,100.69883060455322,0.9769,0.9706089391323504,0.97709,0.9708041208197663,-0.00019000000000002348,-0.00019518168741594621,1.0001944927832942,GRU
CIC_IoT_DIAD_SplitB,CIC_IoT_DIAD_SplitA,86.8976902961731,0.9771,0.9687018055936485,0.9775,0.9694780788222722,-0.00040000000000006697,-0.000776273228623725,1.000409374680176,ResNet1D
CIC_IoT_DIAD_SplitB,CIC_IoT_DIAD_SplitA,6248.838187217712,0.9774,0.9681692629461699,0.97739,0.9684323523982749,1.0000000000065512e-05,-0.0002630894521049587,0.9999897687742991,FT_Transformer
