n_features_perturbed,percentage_perturbed,baseline_accuracy,perturbed_accuracy,accuracy_drop
1,1.2345679012345678,0.85076,0.77916,0.0716
5,6.172839506172839,0.85076,0.71854,0.13222
10,12.345679012345679,0.85076,0.48598,0.36477999999999994
20,24.691358024691358,0.85076,0.62738,0.2233799999999999
