magnitude,accuracy,f1_macro,accuracy_drop
0.1,0.89148,0.42620606438515407,0.008019999999999916
0.3,0.79242,0.33927904589524316,0.10707999999999995
0.5,0.61654,0.2608790567288345,0.28296
